Method,Source,n,Mean,Std,Bias,t-stat,p-value
NMMR_H (U-stat),NMMR,20,2.015454,0.066177,0.015454,1.044373,0.309419
NMMR_H (V-stat),NMMR,20,2.069623,0.044128,0.069623,7.055892,0.000001
NMMR_Q (U-stat),NMMR,20,2.111512,0.156260,0.111512,3.191452,0.004805
NMMR_Q (V-stat),NMMR,20,2.161426,0.125236,0.161426,5.764463,0.000015
DR U-stat PIPW,DR,100,1.988286,0.174015,-0.011714,-0.673149,0.502421
DR U-stat POR,DR,100,1.988003,0.071068,-0.011997,-1.688141,0.094532
DR U-stat PDR,DR,100,2.013479,0.061940,0.013479,2.176187,0.031920
DR V-stat PIPW,DR,100,2.176446,0.106765,0.176446,16.526555,0.000000
DR V-stat POR,DR,100,2.064309,0.046713,0.064309,13.766760,0.000000
DR V-stat PDR,DR,100,2.030036,0.046325,0.030036,6.483683,0.000000
Linear POR,Linear,100,1.998814,0.023523,-0.001186,-0.504369,0.615123
Linear PIPW,Linear,100,1.998912,0.023631,-0.001088,-0.460590,0.646103
Linear PDR,Linear,100,1.998912,0.023631,-0.001088,-0.460590,0.646103
