Trial,PIPW,POR,PDR
0,2.3855230808258057,2.1995368003845215,2.1284747
1,2.3205690383911133,2.02302885055542,1.9164456
2,1.8961479663848877,1.9523605108261108,1.8951257
3,2.2115862369537354,2.1695573329925537,2.1063838
4,2.2426459789276123,2.153496742248535,2.0749092
5,2.2725725173950195,2.0854651927948,2.0585551
6,2.4208550453186035,2.1682064533233643,2.0867622
7,2.0022494792938232,1.979750633239746,1.9250671
8,2.2393102645874023,2.0217065811157227,2.0845833
9,2.5725901126861572,2.1939592361450195,2.1842246
10,2.0068953037261963,2.031999111175537,1.9516392
11,2.3012499809265137,2.035378932952881,1.9706554
12,2.0608935356140137,1.9786580801010132,1.888922
13,2.2670059204101562,2.1102795600891113,2.0244966
14,2.1954314708709717,2.072075366973877,2.0939074
15,2.1147074699401855,2.08967924118042,2.0240817
16,2.6227974891662598,2.0914623737335205,2.0405164
17,1.9379003047943115,1.9924824237823486,1.9550269
18,1.9341360330581665,2.0537755489349365,1.9806707
19,2.4435911178588867,2.0275378227233887,2.003878
20,2.070481538772583,1.989305853843689,1.9845874
21,2.160623788833618,2.11137056350708,2.0816693
22,1.8303992748260498,2.06907320022583,2.113121
23,1.8314441442489624,2.1507134437561035,2.103475
24,2.177624464035034,1.9892734289169312,1.9032601
25,2.2257790565490723,2.0903828144073486,2.0278683
26,2.049980640411377,1.9907381534576416,1.9626348
27,2.48933744430542,2.1413960456848145,2.0685756
28,2.0956664085388184,2.131195306777954,2.1138897
29,2.2079148292541504,2.027036190032959,2.0322082
30,2.177963972091675,2.165043354034424,2.0911884
31,2.055575132369995,2.130793809890747,2.1221638
32,1.8131458759307861,2.0391554832458496,1.9630576
33,2.527397871017456,2.02046275138855,2.0875785
34,2.105989456176758,2.1336472034454346,2.1014473
35,2.1191182136535645,1.9844478368759155,1.8820548
36,2.3270978927612305,2.10909366607666,1.978277
37,2.297163486480713,2.0690758228302,2.0291264
38,2.072650194168091,1.9884105920791626,1.9290528
39,2.180809497833252,2.0985352993011475,1.9677974
40,1.916536569595337,1.9698941707611084,1.8884573
41,2.359710216522217,2.016129493713379,2.0116372
42,2.3484225273132324,2.230304002761841,2.1493456
43,2.1603198051452637,2.084411144256592,2.0281217
44,2.042585849761963,2.209176540374756,2.0389957
45,2.2306933403015137,2.041822910308838,2.0336866
46,2.3551385402679443,2.187033176422119,2.0365748
47,2.5065391063690186,1.986823320388794,1.9279106
48,2.24249267578125,2.0062172412872314,1.9487058
49,2.0989558696746826,2.0893688201904297,2.015631
50,2.3547637462615967,2.121185779571533,2.0157464
51,2.1394622325897217,2.2011961936950684,2.2690938
52,2.2417852878570557,2.126884698867798,2.0658653
53,2.0045979022979736,1.9614547491073608,1.9604228
54,2.006417751312256,2.1528875827789307,2.0622551
55,2.3390371799468994,2.198397159576416,2.2272255
56,2.222977638244629,1.934853196144104,1.9096863
57,1.9293062686920166,2.0614001750946045,1.9395373
58,2.2693774700164795,2.1180343627929688,2.0613534
59,2.080718517303467,2.053589344024658,1.9367974
60,2.1028189659118652,2.1273584365844727,2.106696
61,2.524284839630127,2.1545395851135254,2.1403697
62,1.8868763446807861,1.969586968421936,1.8280032
63,2.304375648498535,2.106959104537964,1.9858574
64,2.2866458892822266,1.9097630977630615,1.8970118
65,2.3718647956848145,2.007399797439575,2.0034735
66,2.2092013359069824,1.9969444274902344,1.9538978
67,2.0982000827789307,1.9895551204681396,2.0501256
68,2.1566662788391113,2.1421058177948,2.1389844
69,2.3857498168945312,2.185781955718994,2.1569662
70,2.4593429565429688,2.082855701446533,2.0521188
71,2.1540839672088623,2.1268508434295654,2.0890875
72,2.4701666831970215,2.0779919624328613,2.0899477
73,2.317880153656006,2.0573554039001465,2.0796607
74,2.301731586456299,2.097654104232788,2.0357497
75,1.8989187479019165,1.9879592657089233,1.9617631
76,2.0746800899505615,2.1043992042541504,2.096328
77,1.9778449535369873,2.2739319801330566,2.2799263
78,2.3507535457611084,2.032226085662842,2.0226014
79,2.5267081260681152,1.8747419118881226,1.8415772
80,2.103489398956299,2.0105414390563965,1.9754564
81,2.107909917831421,2.1260204315185547,2.0584073
82,2.1392931938171387,2.1151340007781982,2.0347807
83,2.3024868965148926,2.0845489501953125,2.0444827
84,2.0991835594177246,2.093207836151123,2.0907845
85,2.1661629676818848,2.1130998134613037,2.0378041
86,2.2265491485595703,2.102620840072632,2.0372617
87,2.403012752532959,2.144517183303833,2.049625
88,2.234874725341797,2.090686559677124,2.1254268
89,2.160001516342163,2.0932297706604004,2.0468543
90,2.2979979515075684,2.13470196723938,1.9959633
91,2.2450122833251953,2.1352741718292236,2.0270097
92,2.3695523738861084,2.210451602935791,2.17072
93,2.0892152786254883,2.1508357524871826,2.012127
94,2.1094460487365723,2.170518398284912,2.134755
95,2.3052611351013184,2.0253500938415527,1.8929313
96,2.0567591190338135,2.1137919425964355,2.0796034
97,2.4600460529327393,2.0672435760498047,2.0041478
98,2.076612949371338,2.0331826210021973,2.0279617
99,2.238046407699585,2.0172667503356934,1.9054658
