Experiment,Mean,SD,Bias,95% CI Low,95% CI High,N
SGD n=2000 H(U),1.9902,0.0504,-0.0098,1.9093,2.0682,20
SGD n=2000 H(V),2.0811,0.0386,0.0811,2.0173,2.1524,20
SGD n=2000 Q(U),2.3574,0.2256,0.3574,1.957,2.8268,20
SGD n=2000 Q(V),2.2667,0.2164,0.2667,1.916,2.6915,20
SGD n=5000 H(U),2.0155,0.0645,0.0155,1.8813,2.1039,20
SGD n=5000 H(V),2.0696,0.043,0.0696,1.9894,2.1357,20
SGD n=5000 Q(U),2.1115,0.1523,0.1115,1.9125,2.4549,20
SGD n=5000 Q(V),2.1614,0.1221,0.1614,1.9615,2.3983,20
SGD n=2000 PIPW(U),1.9387,0.25,-0.0613,1.424,2.357,100
SGD n=2000 POR(U),2.0023,0.0913,0.0023,1.8142,2.1366,100
SGD n=2000 PDR(U),1.9947,0.1212,-0.0053,1.7383,2.1884,100
SGD n=2000 PIPW(V),2.2016,0.1762,0.2016,1.8578,2.5271,100
SGD n=2000 POR(V),2.0795,0.0764,0.0795,1.9432,2.2098,100
SGD n=2000 PDR(V),2.0303,0.0865,0.0303,1.8851,2.2068,100
SGD n=5000 PIPW(U),1.9883,0.1731,-0.0117,1.6312,2.3168,100
SGD n=5000 POR(U),1.988,0.0707,-0.012,1.8597,2.1364,100
SGD n=5000 PDR(U),2.0135,0.0616,0.0135,1.9011,2.1438,100
SGD n=5000 PIPW(V),2.1764,0.1062,0.1764,1.9832,2.3904,100
SGD n=5000 POR(V),2.0643,0.0465,0.0643,1.9758,2.1514,100
SGD n=5000 PDR(V),2.03,0.0461,0.03,1.9473,2.1153,100
RHC U-Boot PIPW,-1.2009,0.6446,,-2.4497,-0.0425,100
RHC U-Boot POR,-0.8161,0.5796,,-1.8817,0.27,100
RHC U-Boot PDR,-0.8804,0.391,,-1.6652,-0.2196,100
RHC V-Boot PIPW,-0.8564,0.5323,,-2.0358,0.0374,100
RHC V-Boot POR,-1.0421,0.28,,-1.5467,-0.5321,100
RHC V-Boot PDR,-1.0563,0.2586,,-1.5798,-0.641,100
RHC U-Rep PIPW,-1.2404,0.5378,,-2.2729,-0.3777,100
RHC U-Rep POR,0.0,0.0,,0.0,0.0,100
RHC U-Rep PDR,-1.24,0.537,,-2.2705,-0.3777,100
