data_name, n_samples, scenario, cf_label, trial, fold1 , fold2 , fold3 , fold4 , fold5 , avg_ate , tp_model_name, tp_loss_name, tp_n_epochs, tp_batch_size, tp_patience, tp_scheduler_patience, tp_scheduler_factor, tp_n_splits, tp_network_depth, tp_network_width, tp_use_u_statistic, tp_kernel_gamma, tp_learning_rate     , tp_l2_penalty
sgd      ,      5000,        1, sgd_cf  ,     1, 1.9627, 1.9772, 2.0999, 2.0133, 1.9965, 2.009913, nmmr_h       , U_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               45, True              ,             1.0, 0.0013561650853986397, 3.6815873954325337e-06
sgd      ,      5000,        1, sgd_cf  ,     2, 1.877 , 2.0251, 1.9399, 1.956 , 1.9683, 1.953249, nmmr_h       , U_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               45, True              ,             1.0, 0.0013561650853986397, 3.6815873954325337e-06
sgd      ,      5000,        1, sgd_cf  ,     3, 1.9297, 2.0889, 2.0742, 1.9334, 1.9076, 1.986749, nmmr_h       , U_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               45, True              ,             1.0, 0.0013561650853986397, 3.6815873954325337e-06
sgd      ,      5000,        1, sgd_cf  ,     4, 1.9934, 1.9061, 1.9931, 1.9377, 2.0273, 1.971527, nmmr_h       , U_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               45, True              ,             1.0, 0.0013561650853986397, 3.6815873954325337e-06
sgd      ,      5000,        1, sgd_cf  ,     5, 2.1352, 2.0838, 2.0835, 2.042 , 1.9753, 2.063974, nmmr_h       , U_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               45, True              ,             1.0, 0.0013561650853986397, 3.6815873954325337e-06
sgd      ,      5000,        1, sgd_cf  ,     6, 2.0925, 2.2561, 2.1247, 2.0651, 1.9209, 2.091871, nmmr_h       , U_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               45, True              ,             1.0, 0.0013561650853986397, 3.6815873954325337e-06
sgd      ,      5000,        1, sgd_cf  ,     7, 1.966 , 2.0052, 1.8614, 2.0266, 2.0645, 1.984743, nmmr_h       , U_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               45, True              ,             1.0, 0.0013561650853986397, 3.6815873954325337e-06
sgd      ,      5000,        1, sgd_cf  ,     8, 2.0346, 1.9212, 1.9306, 1.9187, 1.9171, 1.944429, nmmr_h       , U_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               45, True              ,             1.0, 0.0013561650853986397, 3.6815873954325337e-06
sgd      ,      5000,        1, sgd_cf  ,     9, 2.0971, 2.0907, 2.179 , 2.0899, 2.1171, 2.114737, nmmr_h       , U_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               45, True              ,             1.0, 0.0013561650853986397, 3.6815873954325337e-06
sgd      ,      5000,        1, sgd_cf  ,    10, 2.0879, 2.1168, 1.9584, 2.1425, 2.1446, 2.090035, nmmr_h       , U_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               45, True              ,             1.0, 0.0013561650853986397, 3.6815873954325337e-06
