Trial,PIPW,POR,PDR
0,-1.1927846670150757,-0.8964346647262573,-1.2888958
1,-1.349783182144165,-0.25384292006492615,-0.80803704
2,-0.7179569602012634,-1.1789677143096924,-0.8783661
3,-2.653116464614868,-1.6678036451339722,-0.9101783
4,-0.6577762961387634,-0.20052196085453033,-0.33626083
5,-1.1351021528244019,-1.4223374128341675,-0.84894645
6,-1.613608717918396,0.7570518255233765,-0.25534394
7,-2.063675880432129,-0.8113102912902832,-1.2179759
8,-0.7087953090667725,-1.5860072374343872,-1.2271984
9,-1.275782585144043,-0.6452155709266663,-0.99760914
10,-0.651138186454773,-1.1039434671401978,-1.6589469
11,-1.0414958000183105,0.3418821096420288,-1.0288517
12,-2.0198636054992676,-1.338287353515625,-0.6485134
13,-1.3314979076385498,-1.1644610166549683,-0.8970387
14,-0.9268907904624939,-1.4053994417190552,-0.76431394
15,-0.9751662015914917,-1.6434606313705444,-1.482019
16,-0.5757437944412231,-1.5827796459197998,-1.0799223
17,-1.1028131246566772,0.07919538021087646,-0.30002028
18,-1.7731225490570068,-0.651138424873352,-0.7434199
19,-1.5198204517364502,0.19055187702178955,-0.62799066
20,-0.7344117164611816,-0.14869357645511627,-0.4221673
21,-1.215087652206421,-1.124889612197876,-0.42933613
22,-1.8309673070907593,-0.8109828233718872,-0.920531
23,-1.2906274795532227,-0.6236859560012817,-1.0176969
24,-0.5819805264472961,-0.9156079292297363,-1.7698885
25,-0.6205015182495117,-0.2885443866252899,-1.2597237
26,-0.34678301215171814,-0.46696236729621887,-1.3472955
27,-1.709714651107788,-0.8252848386764526,-1.0400443
28,-0.24253541231155396,-0.31248703598976135,-0.6563554
29,-1.1225452423095703,-1.0325665473937988,-1.0439596
30,-0.06947311758995056,-1.0141816139221191,-0.84869105
31,-1.7773828506469727,-0.07340028882026672,-0.4186875
32,-0.7081148624420166,-0.46049633622169495,-0.6499799
33,-1.5732028484344482,-1.315434455871582,-0.64145607
34,-1.2994402647018433,-1.6459147930145264,-1.0558734
35,-1.2949131727218628,-0.38725173473358154,-0.9639491
36,0.0934065729379654,-1.3349509239196777,-1.1905571
37,-2.027872085571289,-0.8492305278778076,-1.0449408
38,-0.679291307926178,-0.8295038342475891,-0.93395835
39,-1.5290603637695312,-1.388724446296692,-0.8216383
40,-1.2319227457046509,-0.6086894869804382,-0.88650227
41,-0.5200412273406982,-0.4723730683326721,-0.21721764
42,-0.928091287612915,-0.6042050123214722,-0.33919114
43,-0.9459079504013062,-0.777936577796936,-1.1156743
44,-1.5061235427856445,-0.3022988438606262,-0.8505593
45,-0.20338092744350433,-0.8983569741249084,-0.63749945
46,-0.5716557502746582,-0.5912914872169495,-0.59194654
47,-2.3232169151306152,-1.5340943336486816,-1.287568
48,-0.6712942123413086,-1.2583565711975098,-0.9214155
49,-1.6504710912704468,-1.4320530891418457,-1.3089725
50,-0.826321542263031,-0.5790733098983765,-0.87387514
51,-1.1763781309127808,-0.34291473031044006,-1.094825
52,-0.906832754611969,-0.6828444600105286,-0.64282787
53,0.4559958875179291,0.4586753845214844,-0.40627852
54,-2.564143657684326,-0.9142823219299316,-0.7388606
55,-1.0904282331466675,-1.6047279834747314,-0.91476876
56,-1.9160722494125366,-1.0746268033981323,-1.1597604
57,-1.643355369567871,-0.9992595911026001,-1.0497979
58,-0.01803457736968994,0.018364012241363525,-0.12165511
59,-2.1734378337860107,-1.3886663913726807,-1.2883655
60,-1.887391209602356,-1.7844892740249634,-1.6709287
61,-1.9581156969070435,-1.2469974756240845,-1.2498865
62,-1.5337563753128052,-1.1131744384765625,-1.5434136
63,-1.8937909603118896,-0.5301756858825684,-0.45697698
64,-0.7875375151634216,-0.2756845951080322,-0.624053
65,-1.1258848905563354,-0.44396501779556274,-0.47078052
66,-0.41445326805114746,-0.8802644610404968,-1.4318771
67,-0.949783205986023,-0.8955564498901367,-1.0867392
68,-1.4831414222717285,-1.2483124732971191,-0.6306301
69,-0.6359710097312927,-0.17319531738758087,-0.9258546
70,-1.5079431533813477,-0.3129691481590271,-0.41053462
71,-0.7711511254310608,-0.7794797420501709,-0.53143764
72,-1.570300817489624,-0.09230703115463257,-0.75284815
73,-1.4249818325042725,-0.43544715642929077,-0.3889644
74,-1.2649211883544922,-0.2544805407524109,-0.94722205
75,-1.0837990045547485,-0.26878559589385986,-0.7298606
76,-1.552080750465393,-1.3834259510040283,-1.3666252
77,-1.6560919284820557,-0.3432048559188843,-0.22216731
78,-1.4307224750518799,-1.3829922676086426,-0.69478315
79,-0.3202633857727051,0.04173632711172104,-0.24664742
80,-1.031675100326538,-1.4827507734298706,-1.4798976
81,-0.7357204556465149,-0.7705075740814209,-0.8548948
82,-1.333148717880249,-1.9764245748519897,-1.8497282
83,-1.046944260597229,-0.3274933993816376,-0.53189033
84,-0.5002079010009766,-0.7264955043792725,-1.156046
85,-1.7179219722747803,-0.8267400860786438,-1.0432175
86,-1.833141565322876,-1.512999176979065,-1.1760921
87,-1.5643761157989502,-0.7451432347297668,-0.7145926
88,-0.5849701166152954,-0.7172538042068481,-0.7409727
89,-0.17517787218093872,0.006908887531608343,-0.27850154
90,-1.8866605758666992,-1.2553216218948364,-1.5488185
91,-2.111152172088623,0.12063947319984436,-0.35851264
92,-1.4457710981369019,-1.1679275035858154,-0.68858343
93,-2.0515096187591553,-1.9383704662322998,-0.6124269
94,-0.9470329880714417,-1.0592281818389893,-1.4300928
95,-2.178234577178955,-2.1255252361297607,-1.080685
96,-1.340859293937683,-0.9933083057403564,-0.8520233
97,-3.2229714393615723,-1.8190054893493652,-1.1169966
98,-0.6513745784759521,-0.3295139968395233,-1.2583486
99,-0.21918970346450806,-0.537243127822876,0.04240146
