Trial,PIPW,POR,PDR
0,-1.5338046550750732,-1.5764880180358887,-1.5486919
1,-0.8720945119857788,-0.9201253652572632,-1.0636714
2,-0.7808635234832764,-1.0986809730529785,-1.0659086
3,-1.2402030229568481,-1.3506274223327637,-1.1641924
4,-0.7388524413108826,-0.7551394701004028,-0.8201761
5,-0.7031869888305664,-1.328736424446106,-1.2613462
6,-1.0461560487747192,-0.5651648640632629,-0.6621135
7,-0.5409622192382812,-0.9002840518951416,-0.8127132
8,-0.5460936427116394,-1.6167885065078735,-1.7919867
9,-0.4915430545806885,-0.7449391484260559,-0.95375043
10,-0.5025715827941895,-1.1879087686538696,-1.0802544
11,-0.5568290948867798,-0.5331591367721558,-0.67566156
12,-1.3029561042785645,-1.4602758884429932,-1.3031057
13,-0.8184295892715454,-1.115875482559204,-0.8745806
14,-1.7603040933609009,-1.4474793672561646,-1.607869
15,0.08873562514781952,-1.4035625457763672,-1.4440473
16,-0.7462871074676514,-1.0707306861877441,-1.1389532
17,-0.9978429079055786,-0.7781714200973511,-0.75978786
18,-0.8099901080131531,-1.164772391319275,-1.049393
19,-2.1159651279449463,-0.7171381711959839,-0.8676042
20,-0.706633448600769,-0.576543390750885,-0.7884265
21,-1.5184240341186523,-1.3159321546554565,-1.3006619
22,-1.6574428081512451,-1.0112175941467285,-1.0110347
23,-0.8774236440658569,-0.8332561254501343,-1.0754256
24,-0.044400811195373535,-0.8076234459877014,-0.91113824
25,-0.33992254734039307,-0.9196415543556213,-1.0076282
26,-0.47150206565856934,-1.0737985372543335,-1.1155981
27,-2.1419143676757812,-1.4639317989349365,-1.3462011
28,-0.5128650069236755,-1.296428918838501,-1.1462182
29,-1.0896382331848145,-1.4754066467285156,-1.7375785
30,-1.553051471710205,-0.9206771850585938,-0.8298385
31,-0.14004549384117126,-0.91693514585495,-0.7410509
32,-0.6208654046058655,-1.005840539932251,-1.0032153
33,-1.6313276290893555,-1.1222470998764038,-1.1550648
34,-1.2125338315963745,-1.289911150932312,-1.3267648
35,-1.6365116834640503,-1.180262804031372,-1.3178371
36,-0.11324020475149155,-0.8799275755882263,-0.9120337
37,-1.2571289539337158,-0.9741806983947754,-0.9357138
38,-0.8558683395385742,-1.1295208930969238,-1.1635722
39,-1.215010166168213,-1.2384308576583862,-1.1785482
40,-0.3680660128593445,-0.8765528798103333,-0.9217786
41,-0.6162114143371582,-0.7152521014213562,-0.9230868
42,-0.34563666582107544,-1.0538455247879028,-0.94063514
43,-1.4665250778198242,-0.9909757375717163,-0.92481446
44,-0.5723221302032471,-0.8930421471595764,-0.8305163
45,-1.1510975360870361,-1.0775874853134155,-0.888607
46,-1.2945151329040527,-0.6988332271575928,-0.77981114
47,-1.370711088180542,-1.201859951019287,-1.2402058
48,-1.0055451393127441,-1.2972463369369507,-1.3607435
49,-1.0516266822814941,-1.373236894607544,-1.1396128
50,-0.05942036211490631,-0.7613009214401245,-0.7858822
51,-0.9836502075195312,-0.7447184920310974,-0.968088
52,-0.3590625822544098,-1.1051361560821533,-1.096267
53,-0.7980276346206665,-0.5877142548561096,-0.7902468
54,-1.4938888549804688,-0.8211324214935303,-1.0025277
55,-1.3522166013717651,-1.3246575593948364,-1.3250961
56,-1.2810547351837158,-1.0270038843154907,-1.0076354
57,-0.7222566604614258,-1.2714588642120361,-1.3924897
58,-0.48109960556030273,-0.2556527256965637,-0.25174958
59,-1.218021273612976,-1.3708481788635254,-1.3996228
60,-1.056942343711853,-1.237755298614502,-1.3324091
61,-0.14179295301437378,-1.22910475730896,-1.2693576
62,-0.7707734107971191,-1.079637885093689,-1.2209072
63,-0.5137850046157837,-0.9843727350234985,-1.026407
64,-0.34049540758132935,-1.1423792839050293,-0.946607
65,-0.8679981231689453,-0.8436177372932434,-0.9031417
66,-1.091091275215149,-1.1800720691680908,-1.2300426
67,-1.0602407455444336,-1.0603350400924683,-1.2035615
68,-0.6666867733001709,-1.0333137512207031,-1.067242
69,0.06959249824285507,-0.4869040250778198,-0.62181807
70,-0.2544941306114197,-0.6003817319869995,-0.7940469
71,-0.627267599105835,-0.9454638361930847,-0.80373514
72,0.0018268078565597534,-1.0094499588012695,-0.84732336
73,-0.3070519268512726,-0.9000481367111206,-0.940884
74,-0.5527386665344238,-0.8358093500137329,-0.95967513
75,-0.9592992663383484,-0.8776321411132812,-1.0468922
76,-1.0799744129180908,-1.3566092252731323,-1.4947853
77,-0.2159736454486847,-1.310560703277588,-1.1003041
78,-1.4329495429992676,-1.284820556640625,-1.2182047
