data_name,n_samples,scenario,cf_label,trial,fold1,fold2,fold3,fold4,fold5,avg_ate,tp_model_name,tp_loss_name,tp_n_epochs,tp_batch_size,tp_patience,tp_scheduler_patience,tp_scheduler_factor,tp_n_splits,tp_network_depth,tp_network_width,tp_use_u_statistic,tp_kernel_gamma,tp_learning_rate,tp_l2_penalty
sgd,5000,1,sgd_cf,1,2.1568,1.98,2.1026,2.1411,1.9708,2.070261,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,2,2.125,2.2231,2.1102,2.1787,2.0161,2.130619,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,3,2.0064,2.1379,2.1111,2.096,1.9336,2.057021,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,4,2.1385,2.1166,2.0761,2.0021,2.1108,2.088822,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,5,2.1201,2.0723,2.0455,2.1042,2.0193,2.072276,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,6,2.0099,2.0444,2.0747,2.0308,2.0441,2.040785,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,7,2.1303,2.033,2.0447,2.161,2.0141,2.076625,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,8,2.1085,2.0693,2.0326,2.0317,2.0182,2.052052,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,9,2.0444,2.1332,2.0639,2.0803,2.1015,2.084671,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,10,2.1076,2.024,2.1145,2.1047,2.1187,2.093914,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,11,1.9964,2.0252,2.1034,2.0525,2.0739,2.050282,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,12,2.093,2.0671,2.0153,2.1145,2.1146,2.080881,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,13,2.0916,2.1569,2.0175,2.1151,2.1335,2.102929,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,14,2.076,2.0905,2.1553,2.1219,2.2194,2.132614,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,15,2.0767,2.1548,1.9871,2.006,2.054,2.055719,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,16,2.1091,2.0787,2.0824,2.0718,2.0794,2.084258,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,17,2.1205,2.0581,2.0244,2.1054,2.0465,2.070989,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,18,2.0685,1.9352,2.0593,2.0037,2.0018,2.013718,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,19,2.0707,2.0781,2.0978,2.0776,2.1308,2.091002,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,20,2.0977,2.0312,2.0485,2.0749,2.1626,2.083004,nmmr_h,U_statistic,150,500,30,15,0.5,5,4,45,False,1.0,0.0013561650853986397,3.6815873954325337e-06
sgd,5000,1,sgd_cf,1,1.9726,1.9337,2.0613,2.0036,2.0856,2.011362,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,2,2.1096,2.1522,2.0893,2.0842,2.0457,2.096229,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,3,2.1718,2.1473,2.1848,2.1287,2.0395,2.134403,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,4,2.0503,2.1171,2.0856,2.0643,2.0784,2.07915,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,5,2.1359,2.1506,2.1155,2.0884,2.0745,2.112991,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,6,2.0271,2.0646,2.1342,2.1243,2.121,2.094224,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,7,2.0359,1.9661,1.9954,2.011,1.9709,1.995866,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,8,2.0221,2.0819,2.0531,2.043,2.1043,2.060879,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,9,2.0143,2.1046,2.1609,2.0272,2.1072,2.082848,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,10,2.0437,2.087,2.1132,2.0324,2.105,2.076255,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,11,2.103,2.0829,2.1521,2.0532,2.0444,2.08713,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,12,2.0069,2.0233,1.9473,2.0124,2.0027,1.998499,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,13,2.0212,1.9321,2.0154,1.9595,1.9895,1.983535,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,14,2.1587,2.0756,2.1701,2.0808,2.0955,2.116147,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,15,2.0341,2.1254,2.0312,2.1003,2.1216,2.08251,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,16,2.068,2.0869,2.0651,2.0558,2.0771,2.070568,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,17,2.0641,2.0611,1.9751,2.1193,2.0075,2.045427,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,18,2.0046,2.0404,2.06,2.0616,2.1144,2.056199,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,19,2.1121,2.057,2.0968,2.0011,2.0902,2.071449,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,20,2.1564,2.1138,2.1222,2.106,2.1855,2.136786,nmmr_h,V_statistic,150,500,30,15,0.5,5,4,55,False,1.0,0.0012879139533629972,1.8615523437173968e-06
sgd,5000,1,sgd_cf,1,2.0381,2.3484,2.161,2.7787,1.7087,2.206952,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,2,2.2345,1.8691,0.9823,2.4703,2.5046,2.012165,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,3,2.042,2.735,1.581,2.3463,2.3097,2.202832,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,4,2.1609,2.7832,3.561,1.1912,2.1428,2.367817,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,5,2.1935,3.2179,1.186,2.1686,2.4959,2.25238,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
