model type, mode, seed, dataset, n_samples, loss type, epochs, batch size, patience, s_patinece, s_factor, n_splits, net_width, net_depth, kernel_gamma, hpo_n_trials, lr                    , l2_penalty            , loss_best, fold1  , fold2  , fold3  , fold4  , fold5, ATE
nmmr_h    , cf  ,   42, rhc    ,          , u        ,    150,        512,       30,        100,     0.5 ,        4,        40,         4,          3.4,            5, 0.0004982052895927264 , 1.3577809952354988e-06,  0.0     , -0.0011, 0.0001 ,        ,        ,      , -0.000494
nmmr_h    , cf  ,   42, rhc    ,          , u        ,    150,        512,       30,        100,     0.5 ,        4,        40,         4,          3.4,            5, 0.00012663491538096486, 3.374701861568756e-06 ,  0.0     , 0.0011 , 0.0007 ,        ,        ,      , 0.000884
nmmr_h    , cf  ,   42, rhc    ,          , u        ,    150,        512,       30,        100,     0.5 ,        4,        30,         4,          3.4,            5, 0.0003742647757511687 , 2.3411110769691567e-06,  0.0     , 0.0022 , 0.0008 ,        ,        ,      , 0.001458
nmmr_h    , cf  ,   42, rhc    ,          , u        ,    150,        512,       30,        100,     0.5 ,        4,        40,         4,          3.4,            5, 0.0009568486581769454 , 8.28084828634869e-06  ,  0.0     , -0.0011, 0.0002 ,        ,        ,      , -0.000462
nmmr_h    , cf  ,   42, rhc    ,          , u        ,    150,        512,       30,        100,     0.5 ,        4,        35,         4,          3.4,            5, 0.0005890626885312378 , 1.1024645247685501e-06,  0.0     , -0.0001, 0.0002 ,        ,        ,      , 4.9e-05
nmmr_h    , cf  ,   42, rhc    ,          , u        ,    150,        512,       30,        100,     0.5 ,        4,        30,         4,          3.4,            5, 0.0009906729345504671 , 9.154091075199817e-06 ,  0.0     , 0.0003 , 0.0014 ,        ,        ,      , 0.00089
nmmr_h    , cf  ,   42, rhc    ,          , u        ,    150,        512,       30,        100,     0.5 ,        4,        40,         4,          3.4,            5, 0.00010704727049050407, 3.986509830784119e-06 ,  0.0     , 0.0011 , 0.0035 ,        ,        ,      , 0.002263
nmmr_h    , cf  ,   42, rhc    ,          , u        ,    150,        512,       30,        100,     0.5 ,        4,        40,         4,          3.4,            5, 0.00020079783719349057, 6.91727055260298e-05  ,  0.0     , 0.001  , 0.0034 ,        ,        ,      , 0.00223
nmmr_h    , cf  ,   42, rhc    ,          , u        ,    150,        512,       30,        100,     0.5 ,        4,        30,         4,          3.4,            5, 0.00020609981648286974, 2.867422940931297e-06 ,  0.0     , -0.0008, -0.0011,        ,        ,      , -0.000943
nmmr_h    , cf  ,   42, rhc    ,          , u        ,    150,        512,       30,        100,     0.5 ,        4,        30,         4,          3.4,            5, 0.00012375089332661965, 6.345096132909944e-05 ,  0.0     , -0.0024, 0.0009 ,        ,        ,      , -0.00074
nmmr_h    , cf  ,   42, rhc    ,          , v        ,    150,        512,       30,         15,     0.5 ,        4,        45,         4,          2  ,            5, 0.0004581994106167567 , 5.411350657243678e-06 ,  0.070231, -0.9505, -0.7113, -1.0204, -0.8372,      , -0.879844
nmmr_h    , cf  ,   42, rhc    ,          , v        ,    150,        512,       30,         15,     0.5 ,        4,        30,         4,          2  ,            5, 0.0007032792999838812 , 1.4656660378169423e-05,  0.070333, -0.7028, -0.7744, -1.0316, -1.0664,      , -0.893809
nmmr_h    , cf  ,   42, rhc    ,          , v        ,    150,        512,       30,         15,     0.5 ,        4,        30,         4,          2  ,            5, 0.00028045017318808753, 6.530278026989506e-05 ,  0.071131, -0.3908, -0.2878, -0.8662, -0.0889,      , -0.408411
nmmr_h    , cf  ,   42, rhc    ,          , v        ,    150,        512,       30,         15,     0.5 ,        4,        30,         4,          2  ,            5, 0.0006450456672483283 , 2.548954793775445e-06 ,  0.07057 , -0.9942, -0.8482, -0.8519, -1.0076,      , -0.925481
nmmr_h    , cf  ,   42, rhc    ,          , v        ,    150,        512,       30,         15,     0.5 ,        4,        40,         4,          2  ,            5, 0.0006820321056225452 , 1.0831631153782672e-05,  0.070372, -0.9632, -0.7533, -1.0341, -1.1455,      , -0.97401
nmmr_h    , cf  ,   42, rhc    ,          , v        ,    150,        512,       30,         15,     0.5 ,        4,        40,         4,          2  ,            5, 0.0007105776050127295 , 3.6818381721856468e-06,  0.071053, -1.0896, -0.8481, -1.0725, -0.8862,      , -0.974101
nmmr_h    , cf  ,   42, rhc    ,          , v        ,    150,        512,       30,         15,     0.5 ,        4,        45,         4,          2  ,            5, 0.00033414432900171295, 4.237480467318894e-05 ,  0.070538, -0.7888, -0.6062, -1.0062, -0.9474,      , -0.837134
nmmr_h    , cf  ,   42, rhc    ,          , v        ,    150,        512,       30,         15,     0.5 ,        4,        30,         4,          2  ,            5, 0.0009870207897970348 , 4.326900513172177e-05 ,  0.070077, -1.0258, -0.8335, -1.0578, -0.9605,      , -0.969417
nmmr_h    , cf  ,   42, rhc    ,          , v        ,    150,        512,       30,         15,     0.5 ,        4,        45,         4,          2  ,            5, 0.00019993603717650144, 7.777052248240052e-06 ,  0.07123 , -0.377 , -0.2408, -0.4579, -0.4145,      , -0.37255
nmmr_h    , cf  ,   42, rhc    ,          , v        ,    150,        512,       30,         15,     0.5 ,        4,        45,         4,          2  ,            5, 0.000525138848890247  , 1.0319079831683746e-05,  0.06993 , -0.979 , -0.6494, -0.8861, -0.9276,      , -0.86053
nmmr_q    , cf  ,   42, rhc    ,          , u        ,    100,        300,       30,         15,     0.5 ,        4,        40,         8,          1.0,           10, 0.00039409391979556576, 4.6241222866497513e-07,  0.00499 , -2.941 , -0.982 , -2.4853, -0.858 ,      , -1.816575
nmmr_q    , cf  ,   42, rhc    ,          , u        ,    100,        300,       30,         15,     0.5 ,        4,        50,         8,          1.0,           10, 0.0005545994698328037 , 4.070587203047518e-05 ,  0.004069, -3.0756, -2.0804, -2.5727, -0.1551,      , -1.970968
nmmr_q    , cf  ,   42, rhc    ,          , u        ,    100,        300,       30,         15,     0.5 ,        4,        40,         8,          1.0,           10, 0.0003276734415972974 , 3.855285136691494e-06 ,  0.004909, -2.2175, -1.1336, -1.6826, -0.6631,      , -1.424208
